team,matchclub,matchcountry,fbrefid
Brondby (Den),Brøndby IF,Denmark,ab75e049
Buducnost (Mne),FK Budućnost Podgorica,Montenegro,f4f98e1c
Burnley (Eng),Burnley FC,England,943e8050
Cardiff Metropolitan (Wal),Cardiff Metropolitan University FC,Wales,4872ca3d
Celje (Slo),NK Celje,Slovenia,c56c28b0
Celta Vigo,Celta de Vigo,Spain,f25da7fb
Celtic,Celtic FC,Scotland,b81aa4fa
Celtic (Sco),Celtic FC,Scotland,b81aa4fa
CFR Cluj (Rou),CFR Cluj,Romania,ff04e205
Charleroi (Bel),R. Charleroi SC,Belgium,140e320a
Chelsea,Chelsea FC,England,cff3d9bb
Cherno More (Bul),PFC Cherno More Varna,Bulgaria,f61e60c9
Chikhura (Geo),FC Chikhura Sachkhere,Georgia,e839c85b
Cliftonville (Nir),Cliftonville FC,Northern Ireland,5a130b7c
Club Brugge KV,Club Brugge KV,Belgium,f1e6c5f1
Club Brugge KV (Bel),Club Brugge KV,Belgium,f1e6c5f1
Coleraine (Nir),Coleraine FC,Northern Ireland,3fdad06c
Connahs Q. (Wal),Gap Connah's Quay FC,Wales,7d326cbe
Cork City (Irl),Cork City FC,Ireland,4936d1b7
Cracovia (Pol),KS Cracovia,Poland,6e7c9b0b
Crusaders (Nir),Crusaders FC,Northern Ireland,0b6cd7c6
CSKA Moscow,PFC CSKA Moscow,Russia,f0c0c2c2
CSKA Moscow (Rus),PFC CSKA Moscow,Russia,f0c0c2c2
CSKA Sofia (Bul),PFC CSKA Sofia,Bulgaria,cbde2682
Cukaricki (Srb),FK Čukarički,Serbia,42e847bc
D. Zagreb,GNK Dinamo Zagreb,Croatia,edd0d381
D. Zagreb (Cro),GNK Dinamo Zagreb,Croatia,edd0d381
Dacia Chisinau (Mda),FC Dacia Chișinău,Moldova,3cb9ad76
Debrecen (Hun),Debreceni VSC,Hungary,e24ac92e
Derry City (Nir),Derry City FC,Ireland,15f9a98b
Differdange (Lux),FC Differdange 03,Luxembourg,58ff3cd4
Dila Gori (Geo),FC Dila Gori,Georgia,ae098b55
Din. Bucuresti (Rou),FC Dinamo București,Romania,4472d406
Din. Minsk (Blr),FC Dinamo Minsk,Belarus,e2a78c9d
Dinamo Batumi (Geo),FC Dinamo Batumi,Georgia,840ff2b7
Dinamo Tbilisi (Geo),FC Dinamo Tbilisi,Georgia,e2fa043d
Djurgarden (Swe),Djurgårdens IF,Sweden,9423c05a
Domzale (Slo),NK Domžale,Slovenia,8ac05d3e
Dortmund,Borussia Dortmund,Germany,add600ae
Dortmund (Ger),Borussia Dortmund,Germany,add600ae
Drita (Kos),KF Drita,Kosovo,77b23ba3
Druids,Cefn Druids AFC,Wales,0876564a
Dudelange (Lux),F91 Dudelange,Luxembourg,baae133b
Dun. Streda (Svk),FC DAC 1904 Dunajská Streda,Slovakia,b11bfada
Dunav Ruse (Bul),FC Dunav Ruse,Bulgaria,97171221
Dundalk (Irl),Dundalk FC,Ireland,e4a9d483
Dyn. Kyiv,FC Dynamo Kyiv,Ukraine,c734e22f
Dyn. Kyiv (Ukr),FC Dynamo Kyiv,Ukraine,c734e22f
Eintracht Frankfurt,Eintracht Frankfurt,Germany,f0ac8ee6
Eintracht Frankfurt (Ger),Eintracht Frankfurt,Germany,f0ac8ee6
Elfsborg (Swe),IF Elfsborg,Sweden,50e85bfc
Ertis Pavlodar (Kaz),FC Irtysh Pavlodar,Kazakhstan,db5a37c5
Esbjerg (Den),Esbjerg fB,Denmark,31aa0dd4
Espanyol (Esp),RCD Espanyol,Spain,a8661628
Europa FC,Europa FC,Gibraltar,75cd4ee3
Europa FC (Gib),Europa FC,Gibraltar,75cd4ee3
Everton (Eng),Everton FC,England,d3fd31cc
FC Astana,FC Astana,Kazakhstan,c72c8787
FC Astana (Kaz),FC Astana,Kazakhstan,c72c8787
FC Botosani (Rou),FC Botoșani,Romania,d921c99f
FC Copenhagen,FC Copenhagen,Denmark,18050b20
FC Copenhagen (Den),FC Copenhagen,Denmark,18050b20
FC Porto,FC Porto,Portugal,5e876ee6
FC Porto (Por),FC Porto,Portugal,5e876ee6
FC Santa Coloma (And),FC Santa Coloma,Andorra,9549dc95
FCSB,FCSB,Romania,aed59852
FCSB (Rou),FCSB,Romania,aed59852
Fenerbahce,Fenerbahçe SK,Turkey,ae1e2d7d
Fenerbahce (Tur),Fenerbahçe SK,Turkey,ae1e2d7d
Ferencvaros (Hun),Ferencvárosi TC,Hungary,6611f992
Feronikeli (Kos),KF Feronikeli,Albania,abffa138
Feyenoord (Ned),Feyenoord Rotterdam,Netherlands,fb4ca611
Fiorentina,ACF Fiorentina,Italy,421387cf
FK Crvena zvezda,Red Star Belgrade,Serbia,099c6eb5
FK Crvena zvezda (Srb),Red Star Belgrade,Serbia,099c6eb5
FK Liepaja (Lat),FK Liepāja,Latvia,54f29d7b
FK Rostov,FC Rostov,Russia,d60423ef
FK Rostov (Rus),FC Rostov,Russia,d60423ef
FK Sarajevo (Bih),FK Sarajevo,Bosnia and Herzegovina,fac9957a
FK Zorya Luhansk (Ukr),FC Zorya Luhansk,Ukraine,946a30cb
Flora (Est),FC Flora,Estonia,719d83f1
Floriana (Mlt),Floriana FC,Malta,9c088d4e
Fola (Lux),CS Fola Esch,Luxembourg,aa065002
Folgore,SS Folgore Falciano Calcio,San Marino,c582b1da
Folgore (San),SS Folgore Falciano Calcio,San Marino,c582b1da
Freiburg (Ger),SC Freiburg,Germany,a486e511
G.A. Eagles (Ned),Go Ahead Eagles,Netherlands,e33d6108
Gabala (Aze),Gabala FK,Azerbaijan,a1962466
Galatasaray,Galatasaray SK,Turkey,ecd11ca2
Galatasaray (Tur),Galatasaray SK,Turkey,ecd11ca2
Gandzasar (Arm),Gandzasar Kapan FC,Armenia,5f2630fb
Genk,KRC Genk,Belgium,1e972a99
Genk (Bel),KRC Genk,Belgium,1e972a99
Gent,KAA Gent,Belgium,51e5a603
Gent (Bel),KAA Gent,Belgium,51e5a603
Giannina (Gre),PAS Giannina,Greece,6507d2b8
Glenavon (Nir),Glenavon FC,Northern Ireland,b3b6ca5d
Glentoran (Nir),Glentoran FC,Northern Ireland,eaa4ec68
Gornik Z. (Pol),KS Górnik Zabrze,Poland,d2f21b23
Goteborg (Swe),IFK Göteborg,Sweden,ef1ab26a
Grasshoppers (Sui),Grasshopper Club Zürich,Switzerland,7b66a29c
Guimaraes (Por),Vitória de Guimarães,Portugal,3f319bc9
Gzira,Gżira United FC,Malta,8ab497d5
Gzira (Mlt),Gżira United FC,Malta,8ab497d5
H. Beer Sheva,Hapoel Be'er Sheva FC,Israel,133013ee
H. Beer Sheva (Isr),Hapoel Be'er Sheva FC,Israel,133013ee
Hacken (Swe),BK Häcken,Sweden,8774e267
Hafnarfjordur (Ice),Fimleikafélag Hafnarfjarðar,Iceland,9ac2ced1
Hajduk Split (Cro),HNK Hajduk Split,Croatia,6777e16d
Hapoel Haifa (Isr),Hapoel Haifa FC,Israel,8ff9960d
Haugesund (Nor),FK Haugesund,Norway,f4bbcd04
HB Torshavn (Fai),B36 Tórshavn,Faroe Islands,056a9b27
Hearts (Sco),Heart of Midlothian FC,Scotland,7c77b0bc
Heracles (Ned),Heracles Almelo,Netherlands,c882b88e
Hertha Berlin (Ger),Hertha BSC,Germany,2818f8bc
Hibernian (Sco),Hibernian FC,Scotland,f3aacc58
Hibernians (Mlt),Hibernians FC,Malta,0faf8f33
HJK (Fin),HJK Helsinki,Finland,d7319d80
Hoffenheim (Ger),TSG 1899 Hoffenheim,Germany,033ea6b8
Honved (Hun),Budapest Honvéd FC,Hungary,8cac5dfa
Ilves (Fin),FC Ilves,Finland,acffac85
Infonet Tallinn (Est),FC Infonet,Estonia,82d952b5
Inter,Internazionale,Italy,d609edc0
Inter Turku (Fin),FC Inter Turku,Finland,e9fa2e8b
Inverness (Sco),Inverness Caledonian Thistle FC,Scotland,4463fecb
Jablonec (Cze),FK Jablonec,Czech Republic,8424bb18
Jagiellonia (Pol),Jagiellonia Białystok,Poland,4f7b798d
Jelgava (Lat),FK Jelgava,Latvia,8a898dad
Jeunesse Esch (Lux),Jeunesse Esch,Luxembourg,f1849f98
Juvenes/Dogana (San),AC Juvenes/Dogana,San Marino,633ae161
Juventus,Juventus,Italy,e0652b02
K. Almaty (Kaz),FC Kairat,Kazakhstan,768fb565
Kalju (Est),Nõmme Kalju FC,Estonia,33afefe1
Kapaz (Aze),Kapaz PFK,Azerbaijan,820a1312
Kauno Zalgiris (Ltu),FK Kauno Žalgiris,Lithuania,3b8af0c2
Keshla (Aze),Keşla FK,Azerbaijan,63866313
KF Tirana (Alb),KF Tirana,Albania,83310fa5
Kilmarnock (Sco),Kilmarnock FC,Scotland,25f1fd26
Klaksvik,KÍ Klaksvík,Faroe Islands,869753d6
Klaksvik (Fai),KÍ Klaksvík,Faroe Islands,869753d6
Koper (Slo),FC Koper,Slovenia,253fffc4
KR Reykjavik (Ice),Knattspyrnufélag Reykjavíkur,Iceland,ae156985
Krasnodar,FC Krasnodar,Russia,fa11a9cc
Krasnodar (Rus),FC Krasnodar,Russia,fa11a9cc
Kruoja (Ltu),FK Kruoja Pakruojis,Lithuania,2471f5fa
Kukesi (Alb),FK Kukësi,Albania,f1e85b1e
KuPS (Fin),Kuopion PS,Finland,e6f63673
La Fiorita (San),S.P. La Fiorita,San Marino,6de42722
Laci (Alb),KF Laçi,Albania,7a40cd8b
Lahti (Fin),FC Lahti,Finland,5b8cfb05
LASK Linz (Aut),LASK Linz,Austria,d20821dd
Lazio,SS Lazio,Italy,7213da33
Lazio (Ita),SS Lazio,Italy,7213da33
Lech Poznan (Pol),KKS Lech Poznań,Poland,fdba14df
Lechia Gdansk (Pol),KS Lechia Gdańsk,Poland,5d36c8f0
Legia,Legia Warsaw,Poland,a73408a7
Legia (Pol),Legia Warsaw,Poland,a73408a7
Leicester,Leicester City FC,England,a2d435b3
Levadia (Est),FC Levadia Tallinn,Estonia,112c9642
Levski Sofia (Bul),PFC Levski Sofia,Bulgaria,3a7a27c6
Liberec (Cze),FC Slovan Liberec,Czech Republic,2c9bebcd
Lille (Fra),Lille OSC,France,cb188c0c
Lillestrom (Nor),Lillestrøm SK,Norway,924759ab
Lincoln Red Imps (Gib),Lincoln Red Imps FC,Gibraltar,2d3c1b6d
Linfield (Nir),Linfield FC,Northern Ireland,4c96013a
Litex Lovech (Bul),PFC Litex Lovech,Bulgaria,835be610
Liverpool,Liverpool FC,England,822bd0ba
Liverpool (Eng),Liverpool FC,England,822bd0ba
Llandudno (Wal),Llandudno FC,Wales,63235dc5
Lok. Plovdiv (Bul),PFC Lokomotiv Plovdiv,Bulgaria,e0242ef1
Lok. Zagreb (Cro),NK Lokomotiva,Croatia,ea115eb3
Lokomotiv Moscow,FC Lokomotiv Moscow,Russia,5a8dc328
Ludogorets,PFC Ludogorets Razgrad,Bulgaria,488c6ba1
Ludogorets (Bul),PFC Ludogorets Razgrad,Bulgaria,488c6ba1
Luftetari Gjirokastra (Alb),Luftëtari Gjirokastër,Albania,0e3f0159
Lusitanos (And),FC Lusitanos,Andorra,857b60c3
Luzern (Sui),FC Luzern,Switzerland,d423a378
Lyngby (Den),Lyngby BK,Denmark,713d0672
Lyon,Olympique Lyonnais,France,d53c0b06
Maccabi Haifa (Isr),Maccabi Haifa FC,Israel,187832f5
Maccabi Tel Aviv (Isr),Maccabi Tel Aviv FC,Israel,04c011d8
Makedonija GP (Mkd),FK Makedonija Gjorče Petrov,North Macedonia,5130dd3e
Malmo FF,Malmö FF,Sweden,f3d8c8b9
Malmo FF (Swe),Malmö FF,Sweden,f3d8c8b9
Manchester City,Manchester City FC,England,b8fd03ef
Manchester City (Eng),Manchester City FC,England,b8fd03ef
Manchester Utd,Manchester United FC,England,19538871
Manchester Utd (Eng),Manchester United FC,England,19538871
Maribor (Slo),NK Maribor,Slovenia,2aae7689
Mariehamn (Fin),IFK Mariehamn,Finland,c4e86b86
Maritimo (Por),CS Marítimo,Portugal,c1b0f61b
Mariupol (Ukr),FC Mariupol,Ukraine,42b37a13
Marseille,Olympique de Marseille,France,5725cc7b
Marseille (Fra),Olympique de Marseille,France,5725cc7b
Midtjylland,FC Midtjylland,Denmark,3c4fb635
Midtjylland (Den),FC Midtjylland,Denmark,3c4fb635
Milsami (Mda),FC Milsami Orhei,Moldova,7795f801
Mlada Boleslav (Cze),FK Mladá Boleslav,Czech Republic,70c92f33
Mladost (Srb),FK Mladost Lučani,Serbia,9db96189
MOL Fehervar (Hun),MOL Fehérvár FC,Hungary,a338349f
Molde,Molde FK,Norway,174bd5a0
Molde (Nor),Molde FK,Norway,174bd5a0
Monaco,AS Monaco FC,France,fd6114db
Monaco (Fra),AS Monaco FC,France,fd6114db
MTK Budapest (Hun),MTK Budapest FC,Hungary,e44db2c6
Mura (Slo),NŠ Mura,Slovenia,43a5e45a
Myjava (Svk),Spartak Myjava,Slovakia,591295f1
Napoli,SSC Napoli,Italy,d48ad4ff
Napoli (Ita),SSC Napoli,Italy,d48ad4ff
Narva (Est),JK Narva Trans,Estonia,8a9775ad
ND Gorica (Slo),ND Gorica,Slovenia,e404a61d
Neftci Baku (Aze),Neftchi PFK,Azerbaijan,d0ab5e26
Newtown (Wal),Newtown AFC,Wales,584106a8
Nice,OGC Nice,France,132ebc33
Nice (Fra),OGC Nice,France,132ebc33
Niedercorn (Lux),FC Progrès Niederkorn,Luxembourg,ec560e72
Nordsjaelland (Den),FC Nordsjælland,Denmark,1850e3f9
Norrkoping (Swe),IFK Norrköping,Sweden,1d0836d6
NSI Runavik (Fai),NSÍ Runavík,Faroe Islands,448e1bb9
O. Ljubljana (Slo),NK Olimpija Ljubljana,Slovenia,8ae75624
Odd (Nor),Odds BK,Norway,b70ec3fa
Oleksandriya (Ukr),FC Oleksandriya,Ukraine,797d38d2
Olimpic Sarajevo (Bih),FK Olimpic,Bosnia and Herzegovina,63bc42eb
Olimpik Donetsk (Ukr),FC Olimpik Donetsk,Ukraine,4deda092
Olympiacos Piraeus,Olympiacos FC,Greece,2fdb4aef
Olympiacos Piraeus (Gre),Olympiacos FC,Greece,2fdb4aef
Omonia (Cyp),AC Omonia,Cyprus,15e031af
Oostende (Bel),KV Oostende,Belgium,95b895fe
Ordabasy (Kaz),FC Ordabasy,Kazakhstan,38bfcdf5
Osijek (Cro),NK Osijek,Croatia,57d14db5
Osmanlispor,Osmanlıspor FK,Turkey,ed6b1d21
Osmanlispor (Tur),Osmanlıspor FK,Turkey,ed6b1d21
Ostersunds,Östersunds FK,Sweden,577e2606
Ostersunds (Swe),Östersunds FK,Sweden,577e2606
Panathinaikos (Gre),Panathinaikos FC,Greece,f3a5726c
Pandurii (Rou),CS Pandurii Târgu Jiu,Romania,46554cb7
Panionios (Gre),Panionios FC,Greece,1ad6cc2c
PAOK,PAOK FC,Greece,5a5e7874
PAOK (Gre),PAOK FC,Greece,5a5e7874
Paris SG,Paris Saint-Germain FC,France,e2d8892c
Partizan,FK Partizan,Serbia,dde3e804
Partizan (Srb),FK Partizan,Serbia,dde3e804
Partizani (Alb),FK Partizani Tirana,Albania,3ba2fddf
Pelister (Mkd),FK Pelister,North Macedonia,6d2aac76
Petrocub (Mda),FC Petrocub Sărata-Galbenă,Moldova,ae96366c
Piast Gliwice (Pol),GKS Piast Gliwice,Poland,ad2649a5
Plzen,FC Viktoria Plzeň,Czech Republic,02cd81bf
Plzen (Cze),FC Viktoria Plzeň,Czech Republic,02cd81bf
Poli Iasi (Rou),#N/A,#N/A,c12c3ccf
Prishtina,FC Prishtina,Kosovo,7de37644
Prishtina (Kos),FC Prishtina,Kosovo,7de37644
PSV,PSV Eindhoven,Netherlands,e334d850
PSV (Ned),PSV Eindhoven,Netherlands,e334d850
Pyunik Yerevan (Arm),FC Pyunik,Armenia,3022534
Qarabag (Aze),Qarabağ FK,Azerbaijan,44b65410
Rabotnicki (Mkd),FK Rabotnički,North Macedonia,4ebc9920
Racing Luxembourg (Lux),Racing FC Union Luxembourg,Luxembourg,406252ea
Radnicki Nis (Srb),FK Radnički Niš,Serbia,72804f2b
Radnik Bijeljina (Bih),FK Radnik Bijeljina,Bosnia and Herzegovina,7e4fae05
Randers FC (Den),Randers FC,Denmark,d06bc460
Rangers (Sco),Rangers FC,Scotland,86b7acd2
Rapid Vienna,SK Rapid Wien,Austria,912e4c40
Rapid Vienna (Aut),SK Rapid Wien,Austria,912e4c40
RB Leipzig,RB Leipzig,Germany,acbb6a5b
RB Leipzig (Ger),RB Leipzig,Germany,acbb6a5b
Real Madrid,Real Madrid CF,Spain,53a2f082
Real Sociedad,Real Sociedad,Spain,e31d1cd9
Rennes,Stade Rennais FC,France,b3072e00
Renova (Mkd),FK Renova,North Macedonia,623ecff4
RFS (Lat),FK Rīgas Futbola skola,Latvia,7c90642e
Riga FC (Lat),Riga FC,Latvia,91cc0413
Rijeka (Cro),HNK Rijeka,Croatia,25dbe099
Rio Ave (Por),Rio Ave FC,Portugal,eea856da
Riteriai,FK Riteriai,Lithuania,49a61d12
Riteriai (Ltu),FK Riteriai,Lithuania,49a61d12
Rosenborg (Nor),Rosenborg BK,Norway,90e37d3a
Rovaniemi (Fin),Rovaniemen PS,Finland,4fea542b
Rubin Kazan (Rus),FC Rubin Kazan,Russia,5625a7da
Rudar (Mne),FK Rudar Pljevlja,Montenegro,fe8bc2a6
Rudar (Slo),NK Rudar Velenje,Slovenia,933ac71c
Ruzomberok (Svk),MFK Ružomberok,Slovakia,356c100c
Sabail (Aze),Sabail FK,Azerbaijan,6642b67e
Saburtalo Tbilisi (Geo),FC Saburtalo Tbilisi,Georgia,672ebb3d
Salzburg,FC Red Bull Salzburg,Austria,50f2a074
Salzburg (Aut),FC Red Bull Salzburg,Austria,50f2a074
Sampdoria (Ita),UC Sampdoria,Italy,8ff9e3b3
Samtredia (Geo),FC Samtredia,Georgia,b8b2d55e
Sant Julia,UE Sant Julià,Andorra,78816dd0
Sant Julia (And),UE Sant Julià,Andorra,78816dd0
Sarpsborg 08 (Nor),Sarpsborg 08 FF,Norway,47b3e736
Sassuolo (Ita),US Sassuolo Calcio,Italy,e2befd26
Saxan Gagauz Yeri (Mda),FC Saxan,Moldova,8c424f8f
Schalke,FC Schalke 04,Germany,c539e393
Sevilla,Sevilla FC,Spain,ad2be733
Sevilla (Esp),Sevilla FC,Spain,ad2be733
Shakhtar Donetsk,FC Shakhtar Donetsk,Ukraine,e89d5a28
Shakhtar Donetsk (Ukr),FC Shakhtar Donetsk,Ukraine,e89d5a28
Shakhtyor Soligorsk (Blr),FC Shakhtyor Soligorsk,Belarus,7517d495
Shamrock Rovers (Irl),Shamrock Rovers FC,Ireland,f082c4f3
Sheriff Tiraspol (Mda),FC Sheriff Tiraspol,Moldova,50995c1e
Shirak Gyumri (Arm),FC Shirak,Armenia,8771d9cd
Shkendija (Mkd),FK Shkëndija,North Macedonia,c480c810
Shkupi (Mkd),FK Shkupi,North Macedonia,7416e9cd
Shmona (Isr),Hapoel Ironi Kiryat Shmona FC,Israel,4b238d92
Sigma Olomouc (Cze),SK Sigma Olomouc,Czech Republic,41c6978d
Sileks (Mkd),FK Sileks,North Macedonia,0a6448a7
Sillamae (Est),JK Sillamäe Kalev,Estonia,7bc6abf1
Sion,FC Sion,Switzerland,2eaa8331
Sion (Sui),FC Sion,Switzerland,2eaa8331
Siroki Brijeg (Bih),NK Široki Brijeg,Bosnia and Herzegovina,584d189a
SJK (Fin),Seinäjoen SJK,Finland,c889f292
Skenderbeu (Alb),KF Skënderbeu Korçë,Albania,df526548
Skonto (Lat),Skonto FC,Latvia,89873a40
Slask Wroclaw (Pol),WKS Śląsk Wrocław,Poland,c582b57f
Slavia Prague,SK Slavia Prague,Czech Republic,111cbfb1
Slavia Prague (Cze),SK Slavia Prague,Czech Republic,111cbfb1
Slavia Sofia (Bul),PFC Slavia Sofia,Bulgaria,b35f18af
Sloboda (Bih),FK Sloboda Tuzla,Bosnia and Herzegovina,a3548289
Slovan Bratislava (Svk),ŠK Slovan Bratislava,Slovakia,ae7f2f70
Sonderjyske (Den),SønderjyskE Fodbold,Denmark,7700eac9
Southampton (Eng),Southampton FC,England,33c895d4
Sp. Subotica (Srb),FK Spartak Subotica,Serbia,6d139ec5
Sparta Prague,AC Sparta Prague,Czech Republic,ecb862be
Sparta Prague (Cze),AC Sparta Prague,Czech Republic,ecb862be
Spartak Moscow,FC Spartak Moscow,Russia,8c635914
Spartak Moscow (Rus),FC Spartak Moscow,Russia,8c635914
Spartaks (Lat),FK Spartaks Jūrmala,Latvia,654ac5a4
Speranta Nisporeni (Mda),Speranța Nisporeni,Moldova,78b01d1b
Sporting,Sporting CP,Portugal,13dc44fd
Sporting (Por),Sporting CP,Portugal,13dc44fd
St Etienne,AS Saint-Étienne,France,d298ef2c
St Etienne (Fra),AS Saint-Étienne,France,d298ef2c
St Johnstone (Sco),St Johnstone FC,Scotland,dd289621
St Josephs,St. Joseph's FC,Gibraltar,bb780485
St Josephs (Gib),St. Joseph's FC,Gibraltar,bb780485
St. Gallen (Sui),FC St. Gallen,Switzerland,cdaf4e6d
St. Liege (Bel),Standard Liège,Belgium,33c6b26e
St. Patricks (Irl),St Patrick's Athletic FC,Ireland,8a814429
Stabaek (Nor),Stabæk Fotball,Norway,c2153ae4
Stjarnan (Ice),Stjarnan,Iceland,f13065a8
Strasbourg (Fra),RC Strasbourg Alsace,France,c0d3eab4
Stromsgodset (Nor),Strømsgodset Toppfotball,Norway,90eb0dcc
Stumbras (Ltu),FC Stumbras,Lithuania,31ef340d
Sturm Graz (Aut),SK Sturm Graz,Austria,3f4fe568
Suduva (Ltu),FK Sūduva Marijampolė,Lithuania,9e3153f3
Sutjeska (Mne),FK Sutjeska Nikšić,Montenegro,55ff3845
Targu Mures (Rou),ASA Târgu Mureș,Romania,c7d6f62e
Teuta (Alb),KF Teuta Durrës,Albania,2b924bc5
Thun (Sui),FC Thun,Switzerland,9ae758c2
Titograd (Mne),OFK Titograd,Montenegro,8dc7bf66
TNS (Wal),The New Saints FC,Wales,fd12ff13
Tobol (Kaz),FC Tobol,Kazakhstan,8c6383a1
Torino (Ita),Torino FC,Italy,105360fe
Torpedo Kutaisi (Geo),FC Torpedo Kutaisi,Georgia,231f4a61
Tottenham,Tottenham Hotspur FC,England,361ca564
Trabzonspor (Tur),Trabzonspor,Turkey,c8ad3091
Tre Fiori,S.P. Tre Fiori,San Marino,017bcbe4
Tre Fiori (San),S.P. Tre Fiori,San Marino,017bcbe4
Tre Penne (San),S.P. Tre Penne,San Marino,aaffe678
Trencin (Svk),FK AS Trenčín,Slovakia,d8b8c85b
Trepca 89 (Kos),KF Trepça'89,Kosovo,cc98b556
