clubid,club,country,countrycode,governingbody,clubshortnames
75cd4ee3,Europa FC,Gibraltar,GIB,UEFA,Europa FC|Europa
d3fd31cc,Everton FC,England,ENG,UEFA,Everton
baae133b,F91 Dudelange,Luxembourg,LUX,UEFA,F91 Dudelange
d7d06475,FC Admira Wacker Mödling,Austria,AUT,UEFA,Admira
c8282e20,FC Aktobe,Kazakhstan,KAZ,UEFA,FC Aktobe
85dbecd4,FC Ararat-Armenia,Armenia,ARM,UEFA,Ararat-Armenia
0d36ddd4,FC Arouca,Portugal,POR,UEFA,Arouca
0bca3a9e,FC Arsenal Tula,Russia,RUS,UEFA,Arsenal Tula
c72c8787,FC Astana,Kazakhstan,KAZ,UEFA,FC Astana|Astana FK
12d53956,FC Astra Giurgiu,Romania,ROU,UEFA,Astra Giurgiu
0cdc4311,FC Augsburg,Germany,GER,UEFA,Augsburg
f0e1ca42,FC Banants,Armenia,ARM,UEFA,FC Banants|Banants
206d90db,FC Barcelona,Spain,ESP,UEFA,Barcelona
d3d9424a,FC Basel,Switzerland,SUI,UEFA,Basel
b983b638,FC BATE Borisov,Belarus,BLR,UEFA,BATE Borisov
054efa67,FC Bayern Munich,Germany,GER,UEFA,Bayern Munich
d921c99f,FC Botoșani,Romania,ROU,UEFA,Botoșani
e839c85b,FC Chikhura Sachkhere,Georgia,GEO,UEFA,Chikhura
cdd0bbb6,FC Chornomorets Odesa,Ukraine,UKR,UEFA,Chornomorets
18050b20,FC Copenhagen,Denmark,DEN,UEFA,FC Copenhagen
b11bfada,FC DAC 1904 Dunajská Streda,Slovakia,SVK,UEFA,Dunajská Streda
3cb9ad76,FC Dacia Chișinău,Moldova,MDA,UEFA,Dacia Chișinău
2fc6183e,FC Daugava,Latvia,LVA,UEFA,FC Daugava
58ff3cd4,FC Differdange 03,Luxembourg,LUX,UEFA,Differdange 03
ae098b55,FC Dila Gori,Georgia,GEO,UEFA,FC Dila Gori
840ff2b7,FC Dinamo Batumi,Georgia,GEO,UEFA,Dinamo Batumi
31742d51,FC Dinamo Brest,Belarus,BLR,UEFA,FC Dinamo Brest
4472d406,FC Dinamo București,Romania,ROU,UEFA,Dinamo
e2a78c9d,FC Dinamo Minsk,Belarus,BLR,UEFA,Dinamo Minsk
e2fa043d,FC Dinamo Tbilisi,Georgia,GEO,UEFA,Dinamo Tbilisi
c4770a69,FC Dnipro,Ukraine,UKR,UEFA,Dnipro
97171221,FC Dunav Ruse,Bulgaria,BUL,UEFA,Dunav Ruse
c734e22f,FC Dynamo Kyiv,Ukraine,UKR,UEFA,Dynamo Kyiv
541a280b,FC Dynamo Moscow,Russia,RUS,UEFA,Dynamo Mosc
719d83f1,FC Flora,Estonia,EST,UEFA,FC Flora|Flora
123f3efe,FC Girondins de Bordeaux,France,FRA,UEFA,Bordeaux
bec05adb,FC Groningen,Netherlands,NED,UEFA,Groningen
c3071553,FC Honka,Finland,FIN,UEFA,FC Honka
acffac85,FC Ilves,Finland,FIN,UEFA,Ilves
82d952b5,FC Infonet,Estonia,EST,UEFA,FC Infonet
e9fa2e8b,FC Inter Turku,Finland,FIN,UEFA,Inter Turku
db5a37c5,FC Irtysh Pavlodar,Kazakhstan,KAZ,UEFA,Irtysh Pavlodar
768fb565,FC Kairat,Kazakhstan,KAZ,UEFA,FC Kairat|Qaırat Almaty
253fffc4,FC Koper,Slovenia,SVN,UEFA,FC Koper
fa11a9cc,FC Krasnodar,Russia,RUS,UEFA,Krasnodar
5b8cfb05,FC Lahti,Finland,FIN,UEFA,Lahti
112c9642,FC Levadia Tallinn,Estonia,EST,UEFA,Levadia Tallinn
5a8dc328,FC Lokomotiv Moscow,Russia,RUS,UEFA,Loko Moscow
857b60c3,FC Lusitanos,Andorra,AND,UEFA,FC Lusitanos
d423a378,FC Luzern,Switzerland,SUI,UEFA,Luzern
42b37a13,FC Mariupol,Ukraine,UKR,UEFA,FC Mariupol
44ef020f,FC Metalist Kharkiv,Ukraine,UKR,UEFA,Metalist Kharkiv
3c4fb635,FC Midtjylland,Denmark,DEN,UEFA,Midtjylland
9558d297,FC Mika,Armenia,ARM,UEFA,FC Mika
7795f801,FC Milsami Orhei,Moldova,MDA,UEFA,FC Milsami Orhei|Milsami
28e7926c,FC Neman Grodno,Belarus,BLR,UEFA,Neman Grodno
1850e3f9,FC Nordsjælland,Denmark,DEN,UEFA,Nordsjælland
797d38d2,FC Oleksandriya,Ukraine,UKR,UEFA,FC Oleksandriya
4deda092,FC Olimpik Donetsk,Ukraine,UKR,UEFA,Olimpik Donetsk
38bfcdf5,FC Ordabasy,Kazakhstan,KAZ,UEFA,FC Ordabasy|Ordabasy
ae96366c,FC Petrocub Sărata-Galbenă,Moldova,MDA,UEFA,Petrocub
4f30dd8b,FC Petrolul Ploiești,Romania,ROU,UEFA,Petrolul
c12c3ccf,FC Politehnica Iași,Romania,ROU,UEFA,Poli Iași
5e876ee6,FC Porto,Portugal,POR,UEFA,Porto
7de37644,FC Prishtina,Kosovo,KVX,UEFA,FC Prishtina
ec560e72,FC Progrès Niederkorn,Luxembourg,LUX,UEFA,Progrès
03022534,FC Pyunik,Armenia,ARM,UEFA,FC Pyunik|Pyunik
50f2a074,FC Red Bull Salzburg,Austria,AUT,UEFA,RB Salzburg
d60423ef,FC Rostov,Russia,RUS,UEFA,Rostov
5625a7da,FC Rubin Kazan,Russia,RUS,UEFA,Rubin Kazan
672ebb3d,FC Saburtalo Tbilisi,Georgia,GEO,UEFA,Saburtalo
b8b2d55e,FC Samtredia,Georgia,GEO,UEFA,FC Samtredia
9549dc95,FC Santa Coloma,Andorra,AND,UEFA,Santa Coloma
0d984553,FC Santos Tartu,Estonia,EST,UEFA,FC Santos Tartu
8c424f8f,FC Saxan,Moldova,MDA,UEFA,FC Saxan
c539e393,FC Schalke 04,Germany,GER,UEFA,Schalke 04
e89d5a28,FC Shakhtar Donetsk,Ukraine,UKR,UEFA,Shakhtar
a8ba56e5,FC Shakhter Karagandy,Kazakhstan,KAZ,UEFA,Shakhter
7517d495,FC Shakhtyor Soligorsk,Belarus,BLR,UEFA,Shakhtyor
50995c1e,FC Sheriff Tiraspol,Moldova,MDA,UEFA,Sheriff Tiraspol
8771d9cd,FC Shirak,Armenia,ARM,UEFA,FC Shirak
2eaa8331,FC Sion,Switzerland,SUI,UEFA,Sion
88ee782c,FC Sioni Bolnisi,Georgia,GEO,UEFA,FC Sioni Bolnisi
2c9bebcd,FC Slovan Liberec,Czech Republic,CZE,UEFA,Slovan Liberec
8c635914,FC Spartak Moscow,Russia,RUS,UEFA,Spartak Moscow
c16f1fe7,FC Spartak Trnava,Slovakia,SVK,UEFA,Spartak Trnava
e6561daf,FC Spartaki Tskhinvali,Georgia,GEO,UEFA,Tskhinvali
cdaf4e6d,FC St. Gallen,Switzerland,SUI,UEFA,St. Gallen
31ef340d,FC Stumbras,Lithuania,LTU,UEFA,FC Stumbras
9ae758c2,FC Thun,Switzerland,SUI,UEFA,Thun
6e8ad38a,FC Tiraspol,Moldova,MDA,UEFA,FC Tiraspol
8c6383a1,FC Tobol,Kazakhstan,KAZ,UEFA,FC Tobol|Tobol Qostanaı
231f4a61,FC Torpedo Kutaisi,Georgia,GEO,UEFA,Torpedo Kutaisi
f7e8060a,FC Torpedo-BelAZ Zhodino,Belarus,BLR,UEFA,Torpedo Zho
a1f721d3,FC Twente,Netherlands,NED,UEFA,Twente
ec7fdeb7,FC Ufa,Russia,RUS,UEFA,Ufa
2a428619,FC Utrecht,Netherlands,NED,UEFA,Utrecht
b1b46fc3,FC Vaduz,Liechtenstein,LIE,UEFA,Vaduz
33a249c1,FC Veris Chișinău,Moldova,MDA,UEFA,Veris Chișinău
4fffe901,FC Viitorul Constanța,Romania,ROU,UEFA,Viitorul
02cd81bf,FC Viktoria Plzeň,Czech Republic,CZE,UEFA,Viktoria Plzeň
3f2bd811,FC Vitebsk,Belarus,BLR,UEFA,FK Vitebsk
99f258c2,FC Vorskla Poltava,Ukraine,UKR,UEFA,Vorskla Poltava
99a0526b,FC Zaria Bălți,Moldova,MDA,UEFA,FC Zaria Bălți
98ce363d,FC Zenit Saint Petersburg,Russia,RUS,UEFA,Zenit
c1322cab,FC Zestafoni,Georgia,GEO,UEFA,FC Zestafoni
24cd860c,FC Zimbru Chișinău,Moldova,MDA,UEFA,Zimbru Chișinău
946a30cb,FC Zorya Luhansk,Ukraine,UKR,UEFA,Zorya Luhansk
22a5a99c,FC Zürich,Switzerland,SUI,UEFA,Zürich
aed59852,FCSB,Romania,ROU,UEFA,Steaua|FCSB
ae1e2d7d,Fenerbahçe SK,Turkey,TUR,UEFA,Fenerbahçe
6611f992,Ferencvárosi TC,Hungary,HUN,UEFA,Ferencváros
fb4ca611,Feyenoord Rotterdam,Netherlands,NED,UEFA,Feyenoord
9ac2ced1,Fimleikafélag Hafnarfjarðar,Iceland,ISL,UEFA,FH
d8b8c85b,FK AS Trenčín,Slovakia,SVK,UEFA,FK AS Trenčín
d7478aa0,FK Atlantas,Lithuania,LTU,UEFA,FK Atlantas
ee0bccc5,FK Austria Wien,Austria,AUT,UEFA,Austria Wien
34cc3f19,FK Banga Gargždai,Lithuania,LTU,UEFA,Banga Gargždai
9bc3bc52,FK Bokelj,Montenegro,MNE,UEFA,FK Bokelj
f4f98e1c,FK Budućnost Podgorica,Montenegro,MNE,UEFA,Budućnost
738cdee0,FK Čelik Nikšić,Montenegro,MNE,UEFA,FK Čelik Nikšić
42e847bc,FK Čukarički,Serbia,SRB,UEFA,Čukarički
56b555e4,FK Daugava,Latvia,LVA,UEFA,FK Daugava
3ca079d2,FK Ekranas,Lithuania,LTU,UEFA,FK Ekranas
f4bbcd04,FK Haugesund,Norway,NOR,UEFA,Haugesund
8424bb18,FK Jablonec,Czech Republic,CZE,UEFA,Jablonec
e5cd7bb3,FK Jagodina,Serbia,SRB,UEFA,Jagodina
8a898dad,FK Jelgava,Latvia,LVA,UEFA,FK Jelgava
3b8af0c2,FK Kauno Žalgiris,Lithuania,LTU,UEFA,Kauno Žalgiris
2471f5fa,FK Kruoja Pakruojis,Lithuania,LTU,UEFA,Kruoja Pakruojis
f1e85b1e,FK Kukësi,Albania,ALB,UEFA,FK Kukësi|Kukësi
54f29d7b,FK Liepāja,Latvia,LVA,UEFA,FK Liepāja
a7dfc896,FK Lovćen,Montenegro,MNE,UEFA,FK Lovćen
5130dd3e,FK Makedonija Gjorče Petrov,North Macedonia,MKD,UEFA,Makedonija GP
fd36fea1,FK Metalurg Skopje,North Macedonia,MKD,UEFA,Metalurg Skopje
70c92f33,FK Mladá Boleslav,Czech Republic,CZE,UEFA,Mladá Boleslav
9db96189,FK Mladost Lučani,Serbia,SRB,UEFA,Mladost Lučani
63bc42eb,FK Olimpic,Bosnia and Herzegovina,BIH,UEFA,FK Olimpic
dde3e804,FK Partizan,Serbia,SRB,UEFA,Partizan
3ba2fddf,FK Partizani Tirana,Albania,ALB,UEFA,Partizani Tirana
6d2aac76,FK Pelister,North Macedonia,MKD,UEFA,FK Pelister
4ebc9920,FK Rabotnički,North Macedonia,MKD,UEFA,FK Rabotnički
72804f2b,FK Radnički Niš,Serbia,SRB,UEFA,Radnički Niš
7e4fae05,FK Radnik Bijeljina,Bosnia and Herzegovina,BIH,UEFA,Radnik Bijeljina|Bijeljina
623ecff4,FK Renova,North Macedonia,MKD,UEFA,FK Renova
7c90642e,FK Rīgas Futbola skola,Latvia,LVA,UEFA,FK Rīgas FS
49a61d12,FK Riteriai,Lithuania,LTU,UEFA,Trakai|Riteriai
fe8bc2a6,FK Rudar Pljevlja,Montenegro,MNE,UEFA,FK Rudar Pljevlja
fac9957a,FK Sarajevo,Bosnia and Herzegovina,BIH,UEFA,FK Sarajevo|Sarajevo
c480c810,FK Shkëndija,North Macedonia,MKD,UEFA,FK Shkëndija|Shkëndija 79
7416e9cd,FK Shkupi,North Macedonia,MKD,UEFA,FK Shkupi|Shkupi Skopje
0a6448a7,FK Sileks,North Macedonia,MKD,UEFA,FK Sileks
a3548289,FK Sloboda Tuzla,Bosnia and Herzegovina,BIH,UEFA,Sloboda Tuzla
6d139ec5,FK Spartak Subotica,Serbia,SRB,UEFA,Spartak Subotic
654ac5a4,FK Spartaks Jūrmala,Latvia,LVA,UEFA,Spartaks Jūrmala
9e3153f3,FK Sūduva Marijampolė,Lithuania,LTU,UEFA,Sūduva
55ff3845,FK Sutjeska Nikšić,Montenegro,MNE,UEFA,Sutjeska Nikšić
3927dae8,FK Turnovo,North Macedonia,MKD,UEFA,FK Turnovo
5b47810a,FK Vardar,North Macedonia,MKD,UEFA,FK Vardar
869a3b6a,FK Ventspils,Latvia,LVA,UEFA,FK Ventspils|Ventspils
278db974,FK Vojvodina,Serbia,SRB,UEFA,Vojvodina
ee945014,FK Željezničar Sarajevo,Bosnia and Herzegovina,BIH,UEFA,Željezničar
bda134f7,FK Zeta,Montenegro,MNE,UEFA,FK Zeta|Zeta
3d81ccdb,Flamurtari Vlorë,Albania,ALB,UEFA,Flamurtari Vlorë
9c088d4e,Floriana FC,Malta,MLT,UEFA,Floriana FC
a1962466,Gabala FK,Azerbaijan,AZE,UEFA,Gabala FK|Qəbələ
ecd11ca2,Galatasaray SK,Turkey,TUR,UEFA,Galatasaray
5f2630fb,Gandzasar Kapan FC,Armenia,ARM,UEFA,Gandzasar
7d326cbe,Gap Connah's Quay FC,Wales,WAL,UEFA,Connah's Quay
7848bd64,Getafe CF,Spain,ESP,UEFA,Getafe
ad2649a5,GKS Piast Gliwice,Poland,POL,UEFA,Piast Gliwice
b3b6ca5d,Glenavon FC,Northern Ireland,NIR,UEFA,Glenavon FC
eaa4ec68,Glentoran FC,Northern Ireland,NIR,UEFA,Glentoran FC
edd0d381,GNK Dinamo Zagreb,Croatia,CRO,UEFA,Dinamo Zagreb
e33d6108,Go Ahead Eagles,Netherlands,NED,UEFA,Go Ahead Eag
7b66a29c,Grasshopper Club Zürich,Switzerland,SUI,UEFA,Grasshopper
4149e9fd,Győri ETO FC,Hungary,HUN,UEFA,Győr
8ab497d5,Gżira United FC,Malta,MLT,UEFA,Gżira United FC|Gzira United
133013ee,Hapoel Be'er Sheva FC,Israel,ISR,UEFA,Be'er Sheva
8ff9960d,Hapoel Haifa FC,Israel,ISR,UEFA,Hapoel Haifa FC
4b238d92,Hapoel Ironi Kiryat Shmona FC,Israel,ISR,UEFA,Kiryat Shmona
8bb196a5,Hapoel Tel Aviv FC,Israel,ISR,UEFA,Hapoel Tel Aviv
15c5743b,Havnar Bóltfelag,Faroe Islands,FRO,UEFA,Havnar Bóltfelag|HB
7c77b0bc,Heart of Midlothian FC,Scotland,SCO,UEFA,Hearts
c882b88e,Heracles Almelo,Netherlands,NED,UEFA,Heracles Almelo
2818f8bc,Hertha BSC,Germany,GER,UEFA,Hertha BSC
f3aacc58,Hibernian FC,Scotland,SCO,UEFA,Hibernian
0faf8f33,Hibernians FC,Malta,MLT,UEFA,Hibernians FC|Hibernians
d7319d80,HJK Helsinki,Finland,FIN,UEFA,HJK Helsinki|HJK
6777e16d,HNK Hajduk Split,Croatia,CRO,UEFA,Hajduk Split
25dbe099,HNK Rijeka,Croatia,CRO,UEFA,Rijeka
2a6cfcb2,HŠK Zrinjski Mostar,Bosnia and Herzegovina,BIH,UEFA,Zrinjski Mostar
bd8769d1,Hull City AFC,England,ENG,UEFA,Hull City
bb9e11b2,IF Brommapojkarna,Sweden,SWE,UEFA,Brommapojkarna
50e85bfc,IF Elfsborg,Sweden,SWE,UEFA,Elfsborg
b393ffaf,ÍF Fuglafjørður,Faroe Islands,FRO,UEFA,ÍF Fuglafjørður
ef1ab26a,IFK Göteborg,Sweden,SWE,UEFA,Göteborg
c4e86b86,IFK Mariehamn,Finland,FIN,UEFA,IFK Mariehamn
1d0836d6,IFK Norrköping,Sweden,SWE,UEFA,Norrköping
d609edc0,Internazionale,Italy,ITA,UEFA,Inter
4463fecb,Inverness Caledonian Thistle FC,Scotland,SCO,UEFA,Inverness CT
bff39cf5,İstanbul Başakşehir FK,Turkey,TUR,UEFA,Başakşehir
6b2d5f93,İstanbulspor,Turkey,TUR,UEFA,İstanbulspor
e0afb445,Íþróttabandalag Vestmannaeyja,Iceland,ISL,UEFA,ÍBV
4f7b798d,Jagiellonia Białystok,Poland,POL,UEFA,Jagiellonia
f1849f98,Jeunesse Esch,Luxembourg,LUX,UEFA,Jeunesse Esch
8a9775ad,JK Narva Trans,Estonia,EST,UEFA,JK Narva Trans|Narva Trans
7bc6abf1,JK Sillamäe Kalev,Estonia,EST,UEFA,Sillamäe Kalev
e0652b02,Juventus FC,Italy,ITA,UEFA,Juventus
51e5a603,KAA Gent,Belgium,BEL,UEFA,Gent
820a1312,Kapaz PFK,Azerbaijan,AZE,UEFA,Kapaz PFK
30f3de93,Kardemir Karabükspor,Turkey,TUR,UEFA,Karabükspor
63866313,Keşla FK,Azerbaijan,AZE,UEFA,Inter Baku|Keşla
77b23ba3,KF Drita,Kosovo,KVX,UEFA,KF Drita
abffa138,KF Feronikeli,Albania,ALB,UEFA,Feronikeli
7a40cd8b,KF Laçi,Albania,ALB,UEFA,KF Laçi|Laçi
df526548,KF Skënderbeu Korçë,Albania,ALB,UEFA,Skënderbeu Korçë
2b924bc5,KF Teuta Durrës,Albania,ALB,UEFA,KF Teuta Durrës|Teuta Durrës
83310fa5,KF Tirana,Albania,ALB,UEFA,KF Tirana
cc98b556,KF Trepça'89,Kosovo,KVX,UEFA,KF Trepça'89
3458af25,KGHM Zagłębie Lubin,Poland,POL,UEFA,Zagłębie Lubin
869753d6,KÍ Klaksvík,Faroe Islands,FRO,UEFA,KÍ Klaksvík|KÍ
25f1fd26,Kilmarnock FC,Scotland,SCO,UEFA,Kilmarnock
fdba14df,KKS Lech Poznań,Poland,POL,UEFA,Lech Poznań
ae156985,Knattspyrnufélag Reykjavíkur,Iceland,ISL,UEFA,KR Reykjavík
5a8bd0bd,Knattspyrnufélagið Fram,Iceland,ISL,UEFA,Fram Reykjavík
ead990c4,Knattspyrnufélagið Víkingur,Iceland,ISL,UEFA,Víkingur Reyk
1e972a99,KRC Genk,Belgium,BEL,UEFA,Genk
6e7c9b0b,KS Cracovia,Poland,POL,UEFA,Cracovia
d2f21b23,KS Górnik Zabrze,Poland,POL,UEFA,Górnik Zabrze
5d36c8f0,KS Lechia Gdańsk,Poland,POL,UEFA,Lechia Gdańsk
c39b0fab,KS Ruch Chorzów,Poland,POL,UEFA,Ruch Chorzów
e6f63673,Kuopion PS,Finland,FIN,UEFA,KuPS
95b895fe,KV Oostende,Belgium,BEL,UEFA,Oostende
d20821dd,LASK,Austria,AUT,UEFA,LASK Linz|LASK
a73408a7,Legia Warsaw,Poland,POL,UEFA,Legia Warsaw
a2d435b3,Leicester City FC,England,ENG,UEFA,Leicester City
0c017aa1,Leiknir Reykjavík,Iceland,ISL,UEFA,Leiknir Reykjavík
cb188c0c,Lille OSC,France,FRA,UEFA,Lille
924759ab,Lillestrøm SK,Norway,NOR,UEFA,Lillestrøm
2d3c1b6d,Lincoln Red Imps FC,Gibraltar,GIB,UEFA,Red Imps
4c96013a,Linfield FC,Northern Ireland,NIR,UEFA,Linfield FC|Linfield
822bd0ba,Liverpool FC,England,ENG,UEFA,Liverpool
63235dc5,Llandudno FC,Wales,WAL,UEFA,Llandudno FC
0e3f0159,Luftëtari Gjirokastër,Albania,ALB,UEFA,Luftëtari
713d0672,Lyngby BK,Denmark,DEN,UEFA,Lyngby
187832f5,Maccabi Haifa FC,Israel,ISR,UEFA,Maccabi Haifa
04c011d8,Maccabi Tel Aviv FC,Israel,ISR,UEFA,Maccabi Tel Aviv
f3d8c8b9,Malmö FF,Sweden,SWE,UEFA,Malmö
b8fd03ef,Manchester City FC,England,ENG,UEFA,Manchester City
19538871,Manchester United FC,England,ENG,UEFA,Manchester Utd
f75c6442,MFK Košice,Slovakia,SVK,UEFA,MFK Košice
356c100c,MFK Ružomberok,Slovakia,SVK,UEFA,Ružomberok|MFK Ružomberok
d51bc6dd,MKS Arka Gdynia,Poland,POL,UEFA,Arka Gdynia
a338349f,MOL Fehérvár FC,Hungary,HUN,UEFA,Videoton|Vidi
174bd5a0,Molde FK,Norway,NOR,UEFA,Molde
9d04848a,Motherwell FC,Scotland,SCO,UEFA,Motherwell
e5dea1f1,MŠK Žilina,Slovakia,SVK,UEFA,MŠK Žilina
e44db2c6,MTK Budapest FC,Hungary,HUN,UEFA,MTK Budapest
251418b2,Myllykosken Pallo −47,Finland,FIN,UEFA,MYPA
e404a61d,ND Gorica,Slovenia,SVN,UEFA,ND Gorica
d0ab5e26,Neftchi PFK,Azerbaijan,AZE,UEFA,Neftchi PFK|Neftçi
584106a8,Newtown AFC,Wales,WAL,UEFA,Newtown AFC
c56c28b0,NK Celje,Slovenia,SVN,UEFA,NK Celje
8ac05d3e,NK Domžale,Slovenia,SVN,UEFA,NK Domžale|Domžale
ea115eb3,NK Lokomotiva,Croatia,CRO,UEFA,Lokomotiva
2aae7689,NK Maribor,Slovenia,SVN,UEFA,NK Maribor|Maribor
8ae75624,NK Olimpija Ljubljana,Slovenia,SVN,UEFA,Olimpija
57d14db5,NK Osijek,Croatia,CRO,UEFA,Osijek
933ac71c,NK Rudar Velenje,Slovenia,SVN,UEFA,Rudar Velenje
584d189a,NK Široki Brijeg,Bosnia and Herzegovina,BIH,UEFA,NK Široki Brijeg|Široki Brijeg
33afefe1,Nõmme Kalju FC,Estonia,EST,UEFA,Nõmme Kalju FC|Nõmme Kalju
43a5e45a,NŠ Mura,Slovenia,SVN,UEFA,NŠ Mura
448e1bb9,NSÍ Runavík,Faroe Islands,FRO,UEFA,NSÍ Runavík
