country,countrycode2,countrycode3,governingbody,Squad,Gender,Comp,From,To,Comps,Champs,Other Names,clubid
Argentina,ar,ARG,CONMEBOL,Atlético de Rafaela,M,"",2014,2016-2017,4,,AMSyD,4fae5bbb
Argentina,ar,ARG,CONMEBOL,Atlético Tucumán,M,Superliga Argentina de Fútbol,2016,2019-2020,5,0,CA Tucumán,42a1ab8b
Argentina,ar,ARG,CONMEBOL,Boca Juniors,M,Superliga Argentina de Fútbol,2014,2019-2020,7,3,CA,795ca75e
Argentina,ar,ARG,CONMEBOL,CA Banfield,M,Superliga Argentina de Fútbol,2014,2019-2020,7,0,"",06c1606c
Argentina,ar,ARG,CONMEBOL,CA Colón,M,Superliga Argentina de Fútbol,2015,2019-2020,6,0,"",2d84bb17
Argentina,ar,ARG,CONMEBOL,CA Huracán,M,Superliga Argentina de Fútbol,2015,2019-2020,6,0,"",1d3d37ae
Argentina,ar,ARG,CONMEBOL,CA Independiente,M,Superliga Argentina de Fútbol,2014,2019-2020,7,0,"",40bb0ce9
Argentina,ar,ARG,CONMEBOL,CA Lanús,M,Superliga Argentina de Fútbol,2014,2019-2020,7,1,"",11b6dba8
Argentina,ar,ARG,CONMEBOL,CA River Plate,M,Superliga Argentina de Fútbol,2014,2019-2020,7,0,"",ef99c78c
Argentina,ar,ARG,CONMEBOL,CA San Lorenzo de Almagro,M,Superliga Argentina de Fútbol,2014,2019-2020,7,0,"",66da6009
Argentina,ar,ARG,CONMEBOL,CA Talleres,M,Superliga Argentina de Fútbol,2016-2017,2019-2020,4,,"",ceda2145
Argentina,ar,ARG,CONMEBOL,CA Tigre,M,"",2014,2018-2019,6,0,"",0e92bf17
Argentina,ar,ARG,CONMEBOL,CA Vélez Sarsfield,M,Superliga Argentina de Fútbol,2014,2019-2020,7,0,"",41c139b6
Argentina,ar,ARG,CONMEBOL,Central Córdoba de Santiago del Estero,M,Superliga Argentina de Fútbol,2019-2020,2019-2020,1,,CA Club Central Córdoba,9aa97c75
Argentina,ar,ARG,CONMEBOL,Chacarita Juniors,M,"",2017-2018,2017-2018,1,,CA,aa68918c
Argentina,ar,ARG,CONMEBOL,Club Atlético Belgrano,M,"",2014,2018-2019,6,0,CA Belgrano,7765008b
Argentina,ar,ARG,CONMEBOL,Club Atlético Nueva Chicago,M,"",2015,2015,1,,CA Nueva Chicago,7a0e4da8
Argentina,ar,ARG,CONMEBOL,Club Atlético Patronato,M,Superliga Argentina de Fútbol,2016,2019-2020,5,,CA Patronato,0e6891d5
Argentina,ar,ARG,CONMEBOL,Club Atlético Sarmiento,M,"",2015,2016-2017,3,,CA Sarmiento de Junín,e9ae80b7
Argentina,ar,ARG,CONMEBOL,Club Atlético Temperley,M,"",2015,2017-2018,4,,CA Temperley,a644a94b
Argentina,ar,ARG,CONMEBOL,Club Olimpo,M,"",2014,2017-2018,5,,"",7ce29752
Argentina,ar,ARG,CONMEBOL,Crucero del Norte,M,"",2015,2015,1,,CM,5109d3b7
Argentina,ar,ARG,CONMEBOL,Defensa y Justicia,M,Superliga Argentina de Fútbol,2014,2019-2020,7,0,CSyD,a4570206
Argentina,ar,ARG,CONMEBOL,Estudiantes de La Plata,M,Superliga Argentina de Fútbol,2014,2019-2020,7,0,"",df734df9
Argentina,ar,ARG,CONMEBOL,Gimnasia y Esgrima,M,Superliga Argentina de Fútbol,2014,2019-2020,7,0,"de La Plata,Gimnasia y Esgrima",950a95f2
Argentina,ar,ARG,CONMEBOL,Godoy Cruz Antonio Tomba,M,Superliga Argentina de Fútbol,2014,2019-2020,7,0,CD Godoy Cruz Antonio Tomba,ac9a09b4
Argentina,ar,ARG,CONMEBOL,Newell's Old Boys,M,Superliga Argentina de Fútbol,2014,2019-2020,7,0,CA,9bf4eaf4
Argentina,ar,ARG,CONMEBOL,Quilmes AC,M,"",2014,2016-2017,4,,"",96876fbd
Argentina,ar,ARG,CONMEBOL,Racing Club,M,Superliga Argentina de Fútbol,2014,2019-2020,7,2,"",8e20e13d
Argentina,ar,ARG,CONMEBOL,Rosario Central,M,Superliga Argentina de Fútbol,2014,2019-2020,7,0,CA,87a920fa
Argentina,ar,ARG,CONMEBOL,San Martín de San Juan,M,"",2015,2018-2019,5,,CA,d7a2603d
Argentina,ar,ARG,CONMEBOL,San Martín de Tucumán,M,"",2018-2019,2018-2019,1,,CA San Martin de Tucumán,7dd9e55f
Argentina,ar,ARG,CONMEBOL,Unión de Santa Fe,M,Superliga Argentina de Fútbol,2015,2019-2020,6,0,CA Unión,5adc7e67
Armenia,am,ARM,UEFA,Alashkert FC,F,,2019-2020,2019-2020,0,,"",571393d8
Armenia,am,ARM,UEFA,Alashkert FC,M,,2015-2016,2019-2020,0,,"",e6232d10
Armenia,am,ARM,UEFA,Araks Ararat FC,M,,1999-2000,2001-2002,0,,"",b6e38039
Armenia,am,ARM,UEFA,FC Ararat-Armenia,M,,2019-2020,2019-2020,0,,"",85dbecd4
Armenia,am,ARM,UEFA,FC Banants,M,,2009-2010,2019-2020,0,,Yerevan,f0e1ca42
Armenia,am,ARM,UEFA,FC Mika,M,,2009-2010,2014-2015,0,,"",9558d297
Armenia,am,ARM,UEFA,FC Pyunik,M,,2002-2003,2019-2020,0,,Yerevan,03022534
Armenia,am,ARM,UEFA,FC Shirak,M,,2000-2001,2017-2018,0,,"",8771d9cd
Armenia,am,ARM,UEFA,Gandzasar Kapan FC,M,,2009-2010,2018-2019,0,,"",5f2630fb
Armenia,am,ARM,UEFA,Ulisses FC,M,,2010-2011,2015-2016,0,,"",3bc8afc5
Australia,au,AUS,AFC,Adelaide United FC,F,W-League,2018-2019,2018-2019,1,,"",772ed712
Australia,au,AUS,AFC,Adelaide United FC,M,A-League,2005-2006,2019-2020,15,2,"",a4302376
Australia,au,AUS,AFC,Brisbane Roar FC,M,A-League,2009-2010,2019-2020,11,2,"",3efc42c3
Australia,au,AUS,AFC,Brisbane Roar FC,F,W-League,2018-2019,2018-2019,1,,"",f60413f7
Australia,au,AUS,AFC,Canberra United FC,F,W-League,2018-2019,2018-2019,1,,"",a2fa3506
Australia,au,AUS,AFC,Central Coast Mariners FC,M,A-League,2005-2006,2019-2020,15,2,"",605aca82
Australia,au,AUS,AFC,Gold Coast United FC,M,"",2009-2010,2011-2012,3,0,"",d6535aa0
Australia,au,AUS,AFC,Melbourne City FC,M,A-League,2010-2011,2019-2020,10,0,Melbourne Heart FC,31553c94
Australia,au,AUS,AFC,Melbourne City FC,F,W-League,2018-2019,2018-2019,1,,"",6082332e
Australia,au,AUS,AFC,Melbourne Victory FC,F,W-League,2018-2019,2018-2019,1,,"",4f6d7ee7
Australia,au,AUS,AFC,Melbourne Victory FC,M,A-League,2005-2006,2019-2020,15,3,"",fbcd7d37
Australia,au,AUS,AFC,Newcastle Jets FC,F,W-League,2018-2019,2018-2019,1,,"",acd7ce24
Australia,au,AUS,AFC,Newcastle Jets FC,M,A-League,2005-2006,2019-2020,15,0,Newcastle United Jets FC,f9e3296b
Australia,au,AUS,AFC,Northern Fury FC,M,"",2009-2010,2010-2011,2,0,North Queensland Fury FC,6a9b8ca0
Australia,au,AUS,AFC,Perth Glory FC,F,W-League,2018-2019,2018-2019,1,,"",bae78cfe
Australia,au,AUS,AFC,Perth Glory FC,M,A-League,2005-2006,2019-2020,15,0,"",f2b23808
Australia,au,AUS,AFC,Queensland Lions FC,M,"",2005-2006,2008-2009,4,0,Queensland Roar FC,559a3fd1
Australia,au,AUS,AFC,Sydney FC,M,A-League,2005-2006,2019-2020,15,4,"",2466c132
Australia,au,AUS,AFC,Sydney FC,F,W-League,2018-2019,2018-2019,1,1,"",5903e501
Australia,au,AUS,AFC,Western Sydney Wanderers FC,F,W-League,2018-2019,2018-2019,1,,"",25b31403
Australia,au,AUS,AFC,Western Sydney Wanderers FC,M,A-League,2012-2013,2019-2020,8,1,"",38e60d08
Australia,au,AUS,AFC,Western United FC,M,A-League,2019-2020,2019-2020,1,,CS Peñarol (C),af4ccd77
Austria,at,AUT,UEFA,ASKÖ Pasching,M,"",2003-2004,2006-2007,4,0,"",10e37306
Austria,at,AUT,UEFA,FC Admira Wacker Mödling,M,Austrian Football Bundesliga,2003-2004,2019-2020,12,0,"",d7d06475
Austria,at,AUT,UEFA,FC Juniors OÖ,M,"",2013-2014,2013-2014,0,,"",b60eaba0
Austria,at,AUT,UEFA,FC Kärnten,M,"",2003-2004,2003-2004,1,0,"",54000477
Austria,at,AUT,UEFA,FC Red Bull Salzburg,M,Austrian Football Bundesliga,2003-2004,2019-2020,17,10,SV Austria Salzburg,50f2a074
Austria,at,AUT,UEFA,FC Tirol Innsbruck,M,"",2000-2001,2001-2002,0,,"",92819bd7
Austria,at,AUT,UEFA,FC Wacker Innsbruck,M,"",2004-2005,2018-2019,9,0,FC Wacker Tirol,043cbd39
Austria,at,AUT,UEFA,FK Austria Wien,M,Austrian Football Bundesliga,2003-2004,2019-2020,17,2,"",ee0bccc5
Austria,at,AUT,UEFA,Grazer AK,M,"",2002-2003,2006-2007,4,1,"",5750fe3b
Austria,at,AUT,UEFA,Kapfenberger SV,M,"",2008-2009,2011-2012,4,0,"",7a131f8c
Austria,at,AUT,UEFA,LASK Linz,M,Austrian Football Bundesliga,2007-2008,2019-2020,7,0,"",d20821dd
Austria,at,AUT,UEFA,SC Rheindorf Altach,M,Austrian Football Bundesliga,2006-2007,2019-2020,9,0,"",80beba99
Austria,at,AUT,UEFA,SC Wiener Neustadt,M,"",2009-2010,2017-2018,6,0,"",b35fb70b
Austria,at,AUT,UEFA,Schwarz-Weiß Bregenz,M,"",2003-2004,2004-2005,2,0,"",26478307
Austria,at,AUT,UEFA,SK Austria Kärnten,M,"",2007-2008,2009-2010,3,0,"",1b07e114
Austria,at,AUT,UEFA,SK Rapid Wien,M,Austrian Football Bundesliga,1999-2000,2019-2020,17,2,"",912e4c40
Austria,at,AUT,UEFA,SK Sturm Graz,F,"",2016-2017,2019-2020,0,0,"",07787bf7
Austria,at,AUT,UEFA,SK Sturm Graz,M,Austrian Football Bundesliga,1999-2000,2019-2020,17,1,"",3f4fe568
Austria,at,AUT,UEFA,SKN St. Pölten,M,Austrian Football Bundesliga,2014-2015,2019-2020,4,0,"",f722bd04
Austria,at,AUT,UEFA,SKN St. Pölten Frauen,F,"",2015-2016,2019-2020,0,0,"",3d377a8c
Austria,at,AUT,UEFA,SV Grödig,M,"",2013-2014,2015-2016,3,0,"",d40080b0
Austria,at,AUT,UEFA,SV Mattersburg,M,Austrian Football Bundesliga,2003-2004,2019-2020,15,0,"",2ff6d16e
Austria,at,AUT,UEFA,SV Neulengbach,F,"",2014-2015,2014-2015,0,0,"",e21816f2
Austria,at,AUT,UEFA,SV Ried,M,"",2005-2006,2016-2017,12,0,"",8bb8811f
Austria,at,AUT,UEFA,TSV Hartberg,M,Austrian Football Bundesliga,2018-2019,2019-2020,2,,Fußball,f6d9c820
Austria,at,AUT,UEFA,USC Landhaus Wien,F,"",2018-2019,2018-2019,0,,"",60942bd8
Austria,at,AUT,UEFA,Wolfsberger AC,M,Austrian Football Bundesliga,2012-2013,2019-2020,8,0,"",426658a6
Austria,at,AUT,UEFA,WSG Wattens,M,Austrian Football Bundesliga,2019-2020,2019-2020,1,,"",c63dd2d5
Azerbaijan,az,AZE,UEFA,FC Baku,M,,2006-2007,2012-2013,0,,"",c0423451
Azerbaijan,az,AZE,UEFA,Gabala FK,M,,2014-2015,2019-2020,0,0,Qəbələ İK,a1962466
Azerbaijan,az,AZE,UEFA,Kapaz PFK,M,,1999-2000,2016-2017,0,,"",820a1312
Azerbaijan,az,AZE,UEFA,Keşla FK,M,,2008-2009,2018-2019,0,,Inter Baku PIK,63866313
Azerbaijan,az,AZE,UEFA,Khazar Lankaran FK,M,,2007-2008,2013-2014,0,,"",4b7f89f9
Azerbaijan,az,AZE,UEFA,Neftchi PFK,M,,2004-2005,2019-2020,0,0,Neftçi PFK,d0ab5e26
Azerbaijan,az,AZE,UEFA,Qarabağ FK,M,,2009-2010,2019-2020,0,0,Qarabağ Ağdam FK,44b65410
Azerbaijan,az,AZE,UEFA,Sabail FK,M,,2019-2020,2019-2020,0,,Səbail FK,6642b67e
Azerbaijan,az,AZE,UEFA,Shamkir FK,M,,2000-2001,2001-2002,0,,"",26930470
Azerbaijan,az,AZE,UEFA,Shuvalan FK,M,,2011-2012,2011-2012,0,,AZAL PFC,15338911
Azerbaijan,az,AZE,UEFA,Simurq PIK,M,,2009-2010,2009-2010,0,,"",32edda4c
Azerbaijan,az,AZE,UEFA,Zira FK,M,,2017-2018,2017-2018,0,,"",ffb7956e
Belarus,by,BLR,UEFA,FC BATE Borisov,M,,2000-2001,2019-2020,0,0,FK BATE Borisov,b983b638
Belarus,by,BLR,UEFA,FC Belshina Bobruisk,M,,2002-2003,2002-2003,0,,"",8fb09347
Belarus,by,BLR,UEFA,FC Dinamo Brest,M,,2017-2018,2018-2019,0,,"",31742d51
Belarus,by,BLR,UEFA,FC Dinamo Minsk,M,,2005-2006,2019-2020,0,0,FK Dinamo Minsk,e2a78c9d
Belarus,by,BLR,UEFA,FC Dnepr Mogilev,M,,1999-2000,2010-2011,0,,"",422ecddc
Belarus,by,BLR,UEFA,FC Gomel,M,,2004-2005,2012-2013,0,,"",23afe41d
Belarus,by,BLR,UEFA,FC Minsk,M,,2011-2012,2013-2014,0,,"",429af459
Belarus,by,BLR,UEFA,FC Minsk,F,,2014-2015,2019-2020,0,0,"",768fae36
Belarus,by,BLR,UEFA,FC Naftan Novopolotsk,M,,2009-2010,2012-2013,0,,"",eac13497
Belarus,by,BLR,UEFA,FC Neman Grodno,M,,2014-2015,2014-2015,0,,"",28e7926c
Belarus,by,BLR,UEFA,FC Partizan Minsk,M,,2009-2010,2009-2010,0,,"",1fee1908
Belarus,by,BLR,UEFA,FC Shakhtyor Soligorsk,M,,2006-2007,2019-2020,0,,FK Shakhtyor Soligorsk,7517d495
Belarus,by,BLR,UEFA,FC Slavia-Mozyr,M,,2001-2002,2001-2002,0,,"",99b9bc88
Belarus,by,BLR,UEFA,FC Torpedo-BelAZ Zhodino,M,,2010-2011,2016-2017,0,,"",f7e8060a
Belarus,by,BLR,UEFA,FC Vitebsk,M,,2019-2020,2019-2020,0,,FK Vitebsk,3f2bd811
Belgium,be,BEL,UEFA,AFC Tubize,M,"",2008-2009,2018-2019,6,0,"",a2dc07ac
Belgium,be,BEL,UEFA,AS Verbroedering Geel,M,"",2014-2015,2015-2016,2,,"",d0420e9c
Belgium,be,BEL,UEFA,Beerschot AC,M,"",2003-2004,2012-2013,10,0,KFC Germinal Beerschot,2a1fc08b
Belgium,be,BEL,UEFA,Cercle Brugge KSV,M,Belgian First Division A,2003-2004,2019-2020,17,1,"",e8d2adc4
Belgium,be,BEL,UEFA,Club Brugge KV,M,Belgian First Division A,2002-2003,2019-2020,17,3,"",f1e6c5f1
Belgium,be,BEL,UEFA,Excel Mouscron,M,Belgian First Division A,2012-2013,2019-2020,6,0,Royal Mouscron-Péruwelz,f780fd06
Belgium,be,BEL,UEFA,FCV Dender EH,M,"",2007-2008,2008-2009,2,0,"",868afa3f
Belgium,be,BEL,UEFA,K. Beringen-Heusden-Zolder,M,"",2003-2004,2003-2004,1,0,"",a5d696cc
Belgium,be,BEL,UEFA,KAA Gent,M,Belgian First Division A,2003-2004,2019-2020,17,1,"",51e5a603
Belgium,be,BEL,UEFA,KAS Eupen,M,Belgian First Division A,2009-2010,2019-2020,7,0,"",5809ddc3
Belgium,be,BEL,UEFA,KFC Dessel Sport,M,"",2014-2015,2015-2016,2,,"",6b44e810
Belgium,be,BEL,UEFA,KFC Verbroedering Geel,M,"",2005-2006,2005-2006,0,0,"",25c62e18
Belgium,be,BEL,UEFA,KFC Vigor Wuitens Hamme,M,"",2005-2006,2005-2006,0,0,"",2e636529
Belgium,be,BEL,UEFA,KFCO Beerschot Wilrijk,M,Belgian First Division B,2017-2018,2019-2020,3,0,"",c16e44ce
Belgium,be,BEL,UEFA,KMSK Deinze,M,"",2015-2016,2015-2016,1,,"",d6611ea0
Belgium,be,BEL,UEFA,KRC Genk,M,Belgian First Division A,1999-2000,2019-2020,17,2,"",1e972a99
Belgium,be,BEL,UEFA,KRC Mechelen,M,"",2014-2015,2014-2015,1,,"",32e7457c
Belgium,be,BEL,UEFA,KSK Beveren,M,"",2003-2004,2006-2007,4,0,"",ed2cac90
Belgium,be,BEL,UEFA,KSK Heist,M,"",2014-2015,2015-2016,2,,"",c4989af9
Belgium,be,BEL,UEFA,KSV Roeselare,M,Belgian First Division B,2005-2006,2019-2020,11,0,"",ec36fcb9
Belgium,be,BEL,UEFA,KV Kortrijk,M,Belgian First Division A,2006-2007,2019-2020,12,0,"",77193015
Belgium,be,BEL,UEFA,KV Mechelen,M,Belgian First Division A,2006-2007,2019-2020,13,1,"",09f00144
Belgium,be,BEL,UEFA,KV Oostende,M,Belgian First Division A,2004-2005,2019-2020,8,0,"",95b895fe
Belgium,be,BEL,UEFA,KV Woluwe-Zaventem,M,"",2014-2015,2014-2015,1,,"",8f9fe239
Belgium,be,BEL,UEFA,KVC Westerlo,M,Belgian First Division B,2003-2004,2019-2020,15,0,"",57b6cfb8
Belgium,be,BEL,UEFA,KVV Coxyde,M,"",2015-2016,2015-2016,1,,"",7353c34d
Belgium,be,BEL,UEFA,Lierse SK,M,"",2003-2004,2017-2018,12,0,Koninklijke Lierse SK,9ea31445
Belgium,be,BEL,UEFA,Lommel SK,M,Belgian First Division B,2005-2006,2019-2020,5,0,"Lommel United,KVSK United Overpelt-Lommel",6f98eba9
Belgium,be,BEL,UEFA,OH Leuven,M,Belgian First Division B,2011-2012,2019-2020,9,0,"",27e981a3
Belgium,be,BEL,UEFA,R. Charleroi SC,M,Belgian First Division A,2003-2004,2019-2020,16,0,"",140e320a
Belgium,be,BEL,UEFA,R.E. Virton,M,Belgian First Division B,2014-2015,2019-2020,3,,Royal Excelsior Virton,3ae1e75f
Belgium,be,BEL,UEFA,R.F.C. Seraing,M,"",2014-2015,2015-2016,2,,FC Seraing,89e806ff
Belgium,be,BEL,UEFA,RAA Louviéroise,M,"",2003-2004,2005-2006,3,0,"",11474078
Belgium,be,BEL,UEFA,RAEC Mons,M,"",2003-2004,2014-2015,9,0,"",5894f11f
Belgium,be,BEL,UEFA,RE Mouscron,M,"",2003-2004,2008-2009,6,0,"",5be3855a
Belgium,be,BEL,UEFA,Royal Antwerp FC,M,Belgian First Division A,2003-2004,2019-2020,7,1,"",c2e6b53b
Belgium,be,BEL,UEFA,Royale Union SG,M,Belgian First Division B,2015-2016,2019-2020,5,0,"",e14f61a5
Belgium,be,BEL,UEFA,RSC Anderlecht,M,Belgian First Division A,2000-2001,2019-2020,17,8,"",08ad393c
Belgium,be,BEL,UEFA,RSC Anderlecht,F,"",2018-2019,2019-2020,0,0,"",231a3620
Belgium,be,BEL,UEFA,RWDM Brussels FC,M,"",2004-2005,2007-2008,4,0,"",09b8f0cd
Belgium,be,BEL,UEFA,RWS Bruxelles,M,"",2012-2013,2015-2016,2,1,"Royal White Star Bruxelles,WS Woluwe",8af03614
Belgium,be,BEL,UEFA,SC Eendracht Aalst,M,"",2014-2015,2014-2015,1,,"",b04d7956
Belgium,be,BEL,UEFA,Sint-Truidense V.V.,M,Belgian First Division A,2003-2004,2019-2020,14,1,"",80328a1e
Belgium,be,BEL,UEFA,Sporting Lokeren,M,Belgian First Division B,2003-2004,2019-2020,17,0,"",bada91db
Belgium,be,BEL,UEFA,Standard Fémina de Liège,F,"",2014-2015,2017-2018,0,0,Royal Standard de Liège,261c5544
Belgium,be,BEL,UEFA,Standard Liège,M,Belgian First Division A,2003-2004,2019-2020,17,2,"",33c6b26e
Belgium,be,BEL,UEFA,SV Zulte Waregem,M,Belgian First Division A,2005-2006,2019-2020,15,0,"",ecd34b98
Belgium,be,BEL,UEFA,Waasland-Beveren,M,Belgian First Division A,2010-2011,2019-2020,8,0,"",0217e4d8
Bolivia,bo,BOL,CONMEBOL,CA Ciclón,M,"",2015-2016,2015-2016,3,0,"",97f250bf
Bolivia,bo,BOL,CONMEBOL,CA Nacional Potosí,M,División de Fútbol Profesional,2014,2019,14,0,"",ad63267c
Bolivia,bo,BOL,CONMEBOL,CD Guabirá,M,División de Fútbol Profesional,2016-2017,2019,10,0,"",92adb2d6
Bolivia,bo,BOL,CONMEBOL,CD Jorge Wilstermann,M,División de Fútbol Profesional,2014,2019,14,2,"",a58173b2
Bolivia,bo,BOL,CONMEBOL,CD Oriente Petrolero,M,División de Fútbol Profesional,2014,2019,14,0,"",bdc20e84
Bolivia,bo,BOL,CONMEBOL,CD Universitario San Francisco Xavier,M,"",2014,2018,11,0,"",cbe01cc0
Bolivia,bo,BOL,CONMEBOL,Club Aurora,M,División de Fútbol Profesional,2015,2019,6,0,"",c0dcc2ac
Bolivia,bo,BOL,CONMEBOL,Club Blooming,M,División de Fútbol Profesional,2014-2015,2019,14,0,"",40d8842e
Bolivia,bo,BOL,CONMEBOL,Club Bolívar,M,División de Fútbol Profesional,2014,2019,14,4,"",e69cb5b6
Bolivia,bo,BOL,CONMEBOL,Club Destroyers,M,División de Fútbol Profesional,2018,2019,6,0,"",a7941f55
Bolivia,bo,BOL,CONMEBOL,Club Petrolero,M,"",2014-2015,2017,8,0,"",eeb2c538
Bolivia,bo,BOL,CONMEBOL,Club Real Potosí,M,División de Fútbol Profesional,2014-2015,2019,14,0,"",48ac1e43
Bolivia,bo,BOL,CONMEBOL,Club San José,M,División de Fútbol Profesional,2014,2019,14,1,"",4073db4f
Bolivia,bo,BOL,CONMEBOL,Club Sport Boys Warnes,M,División de Fútbol Profesional,2014-2015,2019,14,1,Sport Boys Warnes,93057a66
Bolivia,bo,BOL,CONMEBOL,Club The Strongest,M,División de Fútbol Profesional,2014,2019,14,1,"",6dcc14bf
Bolivia,bo,BOL,CONMEBOL,Club Universitario de Pando,M,"",2014-2015,2014-2015,1,,"",e6d0848a
Bolivia,bo,BOL,CONMEBOL,Royal Parí FC,M,División de Fútbol Profesional,2018,2019,6,0,"",ee5932d2
Bosnia and Herzegovina,ba,BIH,UEFA,FK Borac Banja Luka,M,,2010-2011,2012-2013,0,,,c3ca97e7
Bosnia and Herzegovina,ba,BIH,UEFA,FK Leotar,M,,2003-2004,2003-2004,0,,,04893ec9
Bosnia and Herzegovina,ba,BIH,UEFA,FK Modriča,M,,2008-2009,2008-2009,0,,,5f1ff769
Bosnia and Herzegovina,ba,BIH,UEFA,FK Olimpic,M,,2015-2016,2015-2016,0,,,63bc42eb
Bosnia and Herzegovina,ba,BIH,UEFA,FK Radnik Bijeljina,M,,2016-2017,2019-2020,0,,,7e4fae05
Bosnia and Herzegovina,ba,BIH,UEFA,FK Sarajevo,M,,2007-2008,2019-2020,0,,,fac9957a
Bosnia and Herzegovina,ba,BIH,UEFA,FK Slavija Sarajevo,M,,2009-2010,2009-2010,0,,,d628d624
Bosnia and Herzegovina,ba,BIH,UEFA,FK Sloboda Tuzla,M,,2016-2017,2016-2017,0,,,a3548289
Bosnia and Herzegovina,ba,BIH,UEFA,FK Željezničar Sarajevo,M,,2001-2002,2018-2019,0,,,ee945014
Bosnia and Herzegovina,ba,BIH,UEFA,HŠK Zrinjski Mostar,M,,2005-2006,2019-2020,0,,,2a6cfcb2
Bosnia and Herzegovina,ba,BIH,UEFA,NK Brotnjo,M,,2000-2001,2000-2001,0,,,b6003281
Bosnia and Herzegovina,ba,BIH,UEFA,NK Široki Brijeg,M,,2004-2005,2019-2020,0,,,584d189a
Bosnia and Herzegovina,ba,BIH,UEFA,SFK 2000 Sarajevo,F,,2014-2015,2019-2020,0,0,,814f26cd
Brazil,br,BRA,CONMEBOL,ABC FC,M,"",2014,2017,3,,"",fadd306a
Brazil,br,BRA,CONMEBOL,América FC (MG),M,Campeonato Brasileiro Série B,2014,2019,6,1,América FC (MG),1f68d780
Brazil,br,BRA,CONMEBOL,América FC (RN),M,"",2014,2014,1,,América FC (RN),a77bea94
Brazil,br,BRA,CONMEBOL,Associação Atlética Ponte Preta,M,Campeonato Brasileiro Série B,2014,2019,6,0,"",b162ebe7
Brazil,br,BRA,CONMEBOL,Associação Chapecoense de Futebol,M,Campeonato Brasileiro Série A,2014,2019,6,0,"",baa296ad
Brazil,br,BRA,CONMEBOL,Associação Desportiva Recreativa e Cultural Icasa,M,"",2014,2014,1,,"",695e3d7c
Brazil,br,BRA,CONMEBOL,Associação Portuguesa de Desportos,M,"",2014,2014,1,,"",cebe6a06
Brazil,br,BRA,CONMEBOL,Atlético Clube Goianiense,M,Campeonato Brasileiro Série B,2014,2019,6,1,"",32d508ca
Brazil,br,BRA,CONMEBOL,Avaí FC,M,Campeonato Brasileiro Série A,2014,2019,6,,"",f205258a
Brazil,br,BRA,CONMEBOL,Boa Esporte Clube,M,"",2014,2018,4,,"",f7a205c2
Brazil,br,BRA,CONMEBOL,Botafogo de Futebol e Regatas,M,Campeonato Brasileiro Série A,2014,2019,6,1,"",d9fdd9d9
